topic_source,Topic,Name,ArticleCount_kesma,Pct_kesma,ArticleCount_indep,Pct_indep,keywords
Independent,21,21_vance_alelnök_amerikai alelnök_budapestre,557,0.09339369550637157,970,0.18385140257771038,"alelnok, amerikai, amerikai alelnok, budapestre, jd, jd vance, latogat, magyarorszagra, vance, vance amerikai"
Independent,22,22_gyereket_gyerekek_dúró_gyerek,152,0.025486250838363516,341,0.06463229719484458,"duro, gyerek, gyerekek, gyereket, gyermek, szama, szolo, szuletett, szulok, tarsasag"
Independent,23,23_nato_trump_donald_donald trump,884,0.1482226693494299,1331,0.2522744503411676,"amerikai, amerikai elnok, biro, bol, donald, donald trump, elnok, fontolgatja, nato, trump"
Independent,24,24_orosz_oroszország_ukrán_tengeren,1572,0.2635814889336016,920,0.17437452615617893,"drontamadas, ember, hajot, meghaltak, olajszallito, orosz, oroszok, oroszorszag, tengeren, ukran"
Independent,25,25_szerb_találtak_talált_aleksandar,169,0.028336686787391013,135,0.02558756633813495,"aleksandar, aleksandar vucic, egysegek, kozeleben, osszekoto, szerb, szijjarto ukranok, talalt, talaltak, vucic"
Independent,26,26_forinttal_benzin_bruttó_ára,176,0.029510395707578806,171,0.032410917361637606,"ara, benzin, brutto, emelkedik, forinttal, gazolaj, holtankoljak, holtankoljak hu, nagykereskedelmi, piaci"
Independent,27,27_facebook_digitális_rádió_kúria,653,0.10949027498323273,584,0.1106899166034875,"alkotmanybirosag, digitalis, facebook, facebook oldala, kossuth, kozmedia, kuria, mtva, radio, valasztasi"
Independent,28,28_tűz_katasztrófavédelmi_kigyulladt_tűzoltók,97,0.01626425217974514,128,0.024260803639120546,"eg, foigazgatosag, helyszinre, katasztrofavedelem, katasztrofavedelmi, keletkezett, kigyulladt, tuz, tuzoltok, varmegyei"
Independent,29,29_katolikus_szent_sulyok_templomban,164,0.02749832327297116,102,0.019332827899924184,"jeruzsalemi, katolikus, kereszteny, koztarsasagi, sulyok, sulyok tamas, szent, tamas, templomban, zugloi"
Independent,30,30_véget_cbs_trump_véget ért,769,0.1289403085177733,1052,0.19939347990902198,"cbs, donald, donald trump, ert, haboru, irani haboru, newsnak, trump, veget, veget ert"
Independent,31,31_budapest_máv_vonalon_vasúti,210,0.035211267605633804,229,0.043404094010614104,"budapest, deli, epitesi, epitesi kozlekedesi, iranyba, kozlekedesi, mav, ment, vasuti, vonalon"
Independent,32,32_háború_globális_hormuzi_olaj,778,0.13044936284372904,739,0.14006823351023504,"energiaugynokseg, globalis, haboru, hormuzi, hormuzi szoros, iea, irani haboru, nemzetkozi, nemzetkozi energiaugynokseg, olaj"
Independent,33,33_legfelsőbb_hamenei_ajatollah_modzstaba,497,0.08333333333333333,1055,0.19996209249431388,"ajatollah, ali, hamenei, irani, legfelsobb, legfelsobb vezeto, modzstaba, modzstaba hamenei, testulet, vezeto"
Independent,34,34_ára_brent_olaj_hordónkénti,240,0.04024144869215292,228,0.043214556482183475,"ara, brent, dollar, dollarra, hordonkenti, hordonkenti ara, olaj, olaj ara, olajar, szazalekkal"
Independent,35,35_ner_mészáros_árfolyama_cégek,30,0.005030181086519115,82,0.0155420773313116,"arfolyama, cegek, global, lorinc, meszaros, meszaros lorinc, ner, ner es, szazalekot, tozsdei"
Independent,36,36_európai_ep_eu_unió,877,0.14704896042924212,427,0.0809325246398787,"bizottsag, ep, eu, europai, europai bizottsag, europai unio, kereskedelmi, megallapodas, parlament, unio"
Independent,37,37_hormuzi szorost_szorost_hormuzi_lezárták,164,0.02749832327297116,319,0.060462471569370735,"elhuzodo, haborura, hajot, halad, hormuzi, hormuzi szorost, kezdtek, lezarta, lezartak, szorost"
Independent,38,38_szoroson_hormuzi szoroson_hormuzi_hajók,521,0.08735747820254862,1396,0.26459438968915844,"hajo, hajok, hajokat, hormuzi, hormuzi szoroson, indiai, iran, irani, szoros, szoroson"
Independent,39,39_samsung_gödi_gödi samsung_gyár,111,0.018611670020120725,224,0.04245640636846096,"fico, godi, godi samsung, gyar, gyaraban, por, samsung, samsung gyar, telex, veszelyes"
Independent,40,40_otthon_duna_3000_vitézy,188,0.031522468142186455,133,0.02520849128127369,"3000, duna, kisebb, kozlekedesi, latvanyos, otp, otthon, program, vitezy, vitezy david"
Independent,41,41_máv_embert_történt_szerdára,197,0.033031522468142185,294,0.055724033358605006,"baleset, dolt, embert, mav, szerdara, szerdara virrado, tortent, vasuti, virrado ejszaka, vonaton"
Independent,42,42_háborús feszültség_trump mondja_megakadályozzák_fegyver,84,0.014084507042253521,71,0.013457164518574679,"amerikai haditengereszet, egyreszt, fegyver, feszultseg, haborus feszultseg, kabitoszer, megakadalyozzak, sziria, trump mondja, vedelmet"
Independent,43,43_forint_euró_erősödött_reggel,320,0.05365526492287056,429,0.08131159969673996,"arfolyam, csucsra, dollar, erosodott, esti, euro, forint, jart, reggel, reggelre"
Independent,44,44_karácsony_karácsony gergely_gergely_bíróság,125,0.02095908786049631,180,0.03411675511751327,"birosag, buntetoeljarast, felfuggesztette, fopolgarmester, gergely, gergely fopolgarmester, karacsony, karacsony gergely, pride, vitezy"
Independent,45,45_lelőtt_amerikai_ös_tagját,713,0.11955063715627096,1470,0.27862016679302504,"15 os, amerikai, eltunt, iran, lelott, os, pilota, repulogep, tagjat, vadaszgep"
