topic,count,keywords
0,402,"választási, párt, fidesz, tisza, 12, április, április 12, tisza párt, választás, magyar"
1,333,"magyar, orbán, péter, magyar péter, viktor, orbán viktor, ukrán, miniszterelnök, gábor, tisza"
2,39,"vance, amerikai alelnök, fideszre, alelnök, amerikai, vance amerikai, jd vance, jd, függetlenül, pontos"
3,34,"orbán, viktor, orbán viktor, orbán viktort, viktort, miniszterelnök, lázár, történt, szabó, színpadon"
