Topic,Count,Name,Representation,Representative_Docs
0,402,0_választási_párt_fidesz_tisza,"['választási', 'párt', 'fidesz', 'tisza', '12', 'április', 'április 12', 'tisza párt', 'választás', 'magyar']","['magyar péter debrecenben: a tisza párt elleni hamis zászlós műveletre készülhet a fidesz a választáson a tisza vezetője debrecenben, a fidesz fellegvárában tartotta kampányzáró beszédét. a beszéd legfontosabb pontjai: számos konkrét információt hallottak arról, hogy a fidesz milyen választási csalásokkal és hamis zászlós műveletekkel készül holnapra. az egyik konkrét: szerinte simon miklós (akinek 18', 'magyar péter debrecenben: a tisza párt elleni hamis zászlós műveletre készülhet a fidesz a választáson a tisza vezetője debrecenben, a fidesz fellegvárában tartotta kampányzáró beszédét. a beszéd legfontosabb pontjai: számos konkrét információt hallottak arról, hogy a fidesz milyen választási csalásokkal és hamis zászlós műveletekkel készül holnapra. az egyik konkrét: szerinte simon miklós (akinek 18', 'magyar péter debrecenben: a tisza párt elleni hamis zászlós műveletre készülhet a fidesz a választáson a tisza vezetője debrecenben, a fidesz fellegvárában tartotta kampányzáró beszédét. a beszéd legfontosabb pontjai: számos konkrét információt hallottak arról, hogy a fidesz milyen választási csalásokkal és hamis zászlós műveletekkel készül holnapra. az egyik konkrét: szerinte simon miklós (akinek 18']"
1,333,1_magyar_orbán_péter_magyar péter,"['magyar', 'orbán', 'péter', 'magyar péter', 'viktor', 'orbán viktor', 'ukrán', 'miniszterelnök', 'gábor', 'tisza']","['magyar péter üzent zelenszkijnek: egy külföldi állami vezető sem fenyegethet egyetlen magyart sem ha igazak a hírek, akkor az ukrán elnök megfenyegette orbán viktor miniszterelnököt. hadd tegyem világossá: egy külföldi állami vezető sem fenyegethet egyetlen magyart sem – szögezte le magyar péter az országjárása szarvasi állomásán csütörtök délután. volodimir zelenszkij ugyanis egy sajtótájékozta', 'háború és béke: megnéztük és lerövidítettük orbán viktor és magyar péter beszédét orbán viktor magát ajánlotta zelenszkij helyett és a márciusi ifjak 12 pontját a brüsszelieké helyett, mert „az ő pontjaik a szolgaság pontjai”. magyar péter független, polgári magyarországot, a nemzet egyesítését, a megosztottság megszüntetését ígérte a fidesz szavazóinak is. mindketten azt kérték', 'beütött a tavaszi szünet, tinik árasztották el magyar péter országjárását „nem értem, hogy miről beszél az öreg” – mondta egy fiatalokból álló társaság egyik tagja, mikor arról kérdeztem magyar péter országjárásának algyői állomásán, hogy mit szólnak orbán viktor mondatához, miszerint a fiatalok „ esetleg meg is köszönhetnék ” azt, amit kaptak az orbán-kormányok alatt. a']"
2,39,2_vance_amerikai alelnök_fideszre_alelnök,"['vance', 'amerikai alelnök', 'fideszre', 'alelnök', 'amerikai', 'vance amerikai', 'jd vance', 'jd', 'függetlenül', 'pontos']","['orbán és vance versenyt brüsszeleztek a nagygyűlésükön, majd az amerikai alelnök a fideszre való szavazásra biztatott jd vance amerikai alelnök budapesti látogatása során nyíltan arra bíztatta a szavazókat, hogy voksoljanak a fideszre vasárnap, ugyanakkor arról is beszélt, hogy az egyesült államok a választás eredményétől függetlenül együtt fog működni magyarország következő kormányával. vance szerint az eu, pontos', 'orbán és vance versenyt brüsszeleztek a nagygyűlésükön, majd az amerikai alelnök a fideszre való szavazásra biztatott jd vance amerikai alelnök budapesti látogatása során nyíltan arra bíztatta a szavazókat, hogy voksoljanak a fideszre vasárnap, ugyanakkor arról is beszélt, hogy az egyesült államok a választás eredményétől függetlenül együtt fog működni magyarország következő kormányával. vance szerint az eu, pontos', 'orbán és vance versenyt brüsszeleztek a nagygyűlésükön, majd az amerikai alelnök a fideszre való szavazásra biztatott jd vance amerikai alelnök budapesti látogatása során nyíltan arra bíztatta a szavazókat, hogy voksoljanak a fideszre vasárnap, ugyanakkor arról is beszélt, hogy az egyesült államok a választás eredményétől függetlenül együtt fog működni magyarország következő kormányával. vance szerint az eu, pontos']"
3,34,3_orbán_viktor_orbán viktor_orbán viktort,"['orbán', 'viktor', 'orbán viktor', 'orbán viktort', 'viktort', 'miniszterelnök', 'lázár', 'történt', 'szabó', 'színpadon']","['orbán viktor: de hát én jobb szónok vagyok, mint ceaușescu valaha volt a mandiner csatornájára került fel egy videó , amiben orbán viktor miniszterelnök volt a hotel lentulai legutóbbi adásának vendége. íme pár fontos idézet a beszélgetésből. orbán viktor a kampány véghajrájáról: viccnek szokták venni, pedig komolynak szánom, hogy a mieink a végén jönnek elő. van a mag', 'és igen! a kampányzárón orbán viktor is megidézte eckü heréjét „lehet, hogy a mi gyűlésünk unalmasabb, de ilyen here-bere partikkal nem tudunk szolgálni, mint amivel tegnap szórakoztatták a nagyérdeműt” – mondta orbán viktor a szépen kivilágított szentháromság téren, a kampányzáró emelkedett hangulatában. fotó:\n                youtube/orbán viktor beszéde szint', 'arra törekszünk, hogy orbán viktort újraválasszuk, igaz? – mondta az amerikai alelnök az mtk sportcsarnokában rákay philip a beszédek után elárult egy kulisszatitkot: orbán viktor hosszú felvezetése után azért maradt el j. d. vance méltatása, mert az utolsó pillanatban, amikor orbán már a színpadon volt, derült ki, hogy fel tudják hívni donald trumpot telefonon.\n\norbán viktor vezetése alatt önök megtartottá']"
