Topic,Count,Name,Representation,Representative_Docs
31,39,31_legfőbb ügyész_bence_őrmester_rétvári,"['legfőbb ügyész', 'bence', 'őrmester', 'rétvári', 'ügyész', 'rendőrség', 'nyomozó', 'szabó', 'rendőr', 'szabó bence']","['szabó bence ügyvédje: nincs jó állapotban a védencem megszólalt a 24.hu-nak szabó bence rendőrszázados ügyvédje, laczó adrienn. a most már csak volt nyomozót hivatali visszaéléssel gyanúsították meg , amiért a direkt36-nak kipakolt arról, hogyan próbálta az alkotmányvédelmi hivatal a készenléti rendőrség nemzeti nyomozó irodával (kr nni) elvégeztetett', 'az ügyészség szerint a nyomozásuk nem tárt fel kapcsolatot a szőlő utcai intézet igazgatója és soltész miklós között tordai bence országgyűlési képviselőként arról nyújtott be írásbeli kérdést, hogy „kizárták más vezető fideszes politikusok juhász péter pállal esetlegesen fennállt kapcsolatát is?” amire a legfőbb ügyész azt írta, hogy a területért anno felelős államtitkár és a szőlő utca közellenséggé lett igazgat', 'a legfőbb ügyész szerint nem tártak fel kapcsolatot a szőlő utcai javítóintézet volt igazgatója és soltész miklós között tordai bence országgyűlési képviselőként nyújtott be írásbeli kérdést „kizárták más vezető fideszes politikusok juhász péter pállal esetlegesen fennállt kapcsolatát is?” címmel. a legfőbb ügyész erre azt válaszolta, hogy nem találtak kapcsolatot a gyermekvédelmi területért akkoriban felelős soltész']"
32,39,32_pápa_katolikus_szent_sulyok,"['pápa', 'katolikus', 'szent', 'sulyok', 'püspök', 'templomban', 'sulyok tamás', 'tamás', 'keresztény', 'jeruzsálemi']","['488 év után újra monacóba látogat a pápa első európai útján monacóba látogat leó pápa. a szombati látogatásra 488 évet kellett várniuk a monacói híveknek, az utolsó pápavizitre ugyanis 1538-ban, iii. pál pápa idején került sor. leó pápa monacóban fotó:\n                marco bertorello/afp matteo bruni, a vatikán szóvivője szerint monaco -', 'leó pápa szerint az egész világ számára botrány a közel-keleti háború xiv. leó pápa szerint az egész emberiség számára egy égbekiáltó botrány az, ami a közel-keleten történik – mondta a katolikus egyház feje a vatikánban tartott imádságán. a pápa mindenkit arra biztatott, imádkozzanak azért, hogy a harcok véget érjenek, és út nyíljon a békének, amely az őszinte párbes', 'madonna-szobrot vitt xiv. leó pápának sulyok tamás, és meg is hívta magyarországra ahogy arról korábban mi is beszámoltunk a sándor-palota közleménye alapján, magyarország köztársasági elnöke, sulyok tamás szombaton a vatikánba látogatott , ahol magánkihallgatáson fogadta őt a katolikus egyház feje, xiv. leó pápa . az új pápa beiktatásán is résztvevő köztársasági elnök azóta pár f']"
33,38,33_szülői_gyermekvédelmi_gyereket_született,"['szülői', 'gyermekvédelmi', 'gyereket', 'született', 'gyerek', 'száma', 'szabadságjogokért', 'társaság szabadságjogokért', 'gyerekek', 'tasz']","['ksh: több mint hatezer gyerek született az év első hónapjában, kevesebb, mint egy éve januárban az előzetes adatok szerint 2026 januárjában 6216 gyermek született, és 12.061-en haltak meg. az előző év azonos hónapjához képest a születések száma 2,8, a halálozásoké 7,4 százalékkal mérséklődött, míg a házasságkötéseké 31 százalékkal emelkedett – közölte a központi statisztikai hivatal (ksh) pént', 'az első fokkal szemben a másodfokú bíróság azt mondja, nem kell kiadniuk az állami szerveknek, hogy hány kórházban hagyott újszülött van a másodfok megváltoztatta az ítéletet abban a perben, amit a társaság a szabadságjogokért indított az országos kórházi főigazgatósággal, a belügyminisztériummal, a kulturális és innovációs minisztériummal és a szociális és gyermekvédelmi főigazgatósággal szemben, mert nem adták ki, hány kórházban ha', 'jogsértően titkolja a szülői konzultációk eredményeit a belügyminisztérium a naih szerint indokolatlanul és jogszerűtlenül tagadta meg a 2022 és 2024 között készült szülői konzultációk eredményeinek kiadását a belügyminisztérium – állapította meg friss jelentésében a nemzeti adatvédelmi és információszabadság hatóság (naih), osztotta meg a szülői hang civil szervezet. a szülők arra volta']"
34,38,34_vance_fideszre_amerikai alelnök_alelnök,"['vance', 'fideszre', 'amerikai alelnök', 'alelnök', 'budapesti látogatása', 'versenyt', 'szavazókat', 'működni', 'beszélt egyesült', 'alelnök budapesti']","['orbán és vance versenyt brüsszeleztek a nagygyűlésükön, majd az amerikai alelnök a fideszre való szavazásra biztatott jd vance amerikai alelnök budapesti látogatása során nyíltan arra bíztatta a szavazókat, hogy voksoljanak a fideszre vasárnap, ugyanakkor arról is beszélt, hogy az egyesült államok a választás eredményétől függetlenül együtt fog működni magyarország következő kormányával. vance szerint az eu, pontos', 'orbán és vance versenyt brüsszeleztek a nagygyűlésükön, majd az amerikai alelnök a fideszre való szavazásra biztatott jd vance amerikai alelnök budapesti látogatása során nyíltan arra bíztatta a szavazókat, hogy voksoljanak a fideszre vasárnap, ugyanakkor arról is beszélt, hogy az egyesült államok a választás eredményétől függetlenül együtt fog működni magyarország következő kormányával. vance szerint az eu, pontos', 'orbán és vance versenyt brüsszeleztek a nagygyűlésükön, majd az amerikai alelnök a fideszre való szavazásra biztatott jd vance amerikai alelnök budapesti látogatása során nyíltan arra bíztatta a szavazókat, hogy voksoljanak a fideszre vasárnap, ugyanakkor arról is beszélt, hogy az egyesült államok a választás eredményétől függetlenül együtt fog működni magyarország következő kormányával. vance szerint az eu, pontos']"
35,37,35_otthon_lakás_tiborcz_tiborcz istván,"['otthon', 'lakás', 'tiborcz', 'tiborcz istván', 'lakást', 'belvárosi', '3000', 'duna', 'válasz online', 'alatti']","['az otthon start sikereiről beszélt gulyás gergely rendszerváltás óta a legsikeresebb otthonteremtési program az otthon start – mondta gulyás. az igénybe vevők nyolcvan százaléka 40 év alatti, az átlagosan felvett hitel összege 35 millió forint. gulyás szerint az otthon start jelentős segítséget nyújt az építőiparnak is. 16 ezer lakás fejlesztését e', 'még három belvárosi palota került tiborcz istván köréhez eddig nyolc belvárosi palotáról lehetett tudni, hogy az évek alatt a miniszterelnök veje, tiborcz istván köréhez kerültek, most azonban még három ilyen ingatlanról derült ki, hogy tiborczéké lett. a válasz online szerint az egyik a hold utca 16. alatti, részben a batthyány-örökmécsesre néző, felújít', 'még három belvárosi palota került tiborcz istván köréhez, így már 11-nél tartanak újabb három belvárosi csúcsingatlanról derült ki, hogy tiborcz istván üzleti köréhez került az utóbbi években, írja a válasz online . a miniszterelnök vejéhez köthető cégeknek így már összesen 11 belpesti palotája van. a lap azt írja, a hill & field property zrt. 2021-ben a hold utca 16. alatti, kor']"
36,36,36_hamis zászlós_zászlós_hamis_konkrét,"['hamis zászlós', 'zászlós', 'hamis', 'konkrét', 'debrecenben', 'pontjai', 'készülhet fidesz', 'debrecenben tisza', 'fidesz választási', 'simon miklós']","['magyar péter debrecenben: a tisza párt elleni hamis zászlós műveletre készülhet a fidesz a választáson a tisza vezetője debrecenben, a fidesz fellegvárában tartotta kampányzáró beszédét. a beszéd legfontosabb pontjai: számos konkrét információt hallottak arról, hogy a fidesz milyen választási csalásokkal és hamis zászlós műveletekkel készül holnapra. az egyik konkrét: szerinte simon miklós (akinek 18', 'magyar péter debrecenben: a tisza párt elleni hamis zászlós műveletre készülhet a fidesz a választáson a tisza vezetője debrecenben, a fidesz fellegvárában tartotta kampányzáró beszédét. a beszéd legfontosabb pontjai: számos konkrét információt hallottak arról, hogy a fidesz milyen választási csalásokkal és hamis zászlós műveletekkel készül holnapra. az egyik konkrét: szerinte simon miklós (akinek 18', 'magyar péter debrecenben: a tisza párt elleni hamis zászlós műveletre készülhet a fidesz a választáson a tisza vezetője debrecenben, a fidesz fellegvárában tartotta kampányzáró beszédét. a beszéd legfontosabb pontjai: számos konkrét információt hallottak arról, hogy a fidesz milyen választási csalásokkal és hamis zászlós műveletekkel készül holnapra. az egyik konkrét: szerinte simon miklós (akinek 18']"
37,34,37_opus_árfolyama_ner_cégek,"['opus', 'árfolyama', 'ner', 'cégek', 'mészáros', 'opus global', 'ner es', 'global', 'százalékot', 'tőzsdei']","['nagyot estek a ner-hoz köthető cégek a tőzsdén nagy esésbe kezdtek pénteken a ner-hez köthető cégek a budapesti értéktőzsdén: az opus global nyrt. részvényei 10-11 százalékkal, a 4ig nyrt. részvényei pedig 16 százalékkal értékelődtek le – írta a hvg.hu . az opus-papírok induló árfolyama 420 forint volt, ami a nap folyamán 386 forintig is leesett', 'rendkívüli tájékoztatást adott ki az opus, átrendezi a cégben a sorokat mészáros lőrinc rendkívüli tájékoztatást tett közzé a tőzsde honlapján a több formában – leányvállalatokon, közvetlenül és magántőkealapon keresztül – mészáros lőrinc érdekeltségébe tartozó opus global nyrt. kedden. a ner-es tőzsdei cég az alábbiakat jelentette be: szerdán az opus global nyrt.-ből az annak konszoli', 'a hatalmas zuhanás után hirtelen visszapattant a ner-es tőzsdei cégek árfolyama a múlt hét második felében tapasztalt gyors visszaesés után hétfőn és kedden részben visszapattant a ner-es cégek árfolyama a budapesti értéktőzsdén. kedden: az opus árfolyama 10,5 százalékot emelkedett; a 4ig 13 százalékot ugrott; a gránit banké pedig 2,7 százalékot. ezzel együtt a részvények taval']"
38,32,38_samsung_gödi_gödi samsung_gyár,"['samsung', 'gödi', 'gödi samsung', 'gyár', 'gyárban', 'samsung gyár', 'szakszervezeti', 'samsung gödi', 'veszélyes', 'fico']","['tovább terjeszkedne a gödi samsung sdi, 30 hektárnyi területre napelemparkot és némi fásítást is tervez a gödi samsung sdi körülbelül 30 hektárt akar megvásárolni 4,2 milliárd forintért az üzeme és a lakóterületek közötti sávban, amelyre napelemparkot, parkolót és véderdőt telepíthet, írta az átlátszó . a gödi önkormányzat még tavaly novemberben hirdetett meg pályázatot a település egyik külterületi r', 'tovább terjeszkedhet a gödi samsung sdi, földek kisajátítása is napirendre kerülhet a gödi samsung sdi körülbelül 30 hektárt akar megvásárolni 4,2 milliárd forintért az üzeme és a lakóterületek közötti sávban, amelyre napelemparkot, parkolót és véderdőt telepíthet – olvasható az átlátszó cikkében . a gödi önkormányzat még tavaly novemberben hirdetett meg pályázatot a település egyi', 'telex: kupacokban állt a fekete por az álmennyezet fölött a gödi samsung gyárban újabb dokumentumokat, illetve képeket hozott nyilvánosságra a telex , melyek azt mutatják, milyen súlyos volt a helyzet a gödi samsung gyárban. a lap februárban arról írt, olyan súlyosan mérgező, rákkeltő anyagokkal szennyezett volt a gödi samsung-gyár levegője , hogy még a titkosszolgálatot is beve']"
39,32,39_szoroson_hormuzi szoroson_hormuzi_hajók,"['szoroson', 'hormuzi szoroson', 'hormuzi', 'hajók', 'indiai', 'hajókat', 'áthaladt', 'hajó', 'hajókat hormuzi', 'szoros']","['újabb két indiai tankert engedett át irán a hormuzi-szoroson két indiai zászló alatt közlekedő, cseppfolyósított propán-bután-gázt (lpg) szállító tartályhajó kelt át a hormuzi-szoroson, míg egy harmadik tanker egyelőre a szoros nyugati részén tartózkodik. az iráni háború kezdete óta gyakorlatilag leállt a szoroson keresztüli hajózás, de irán szerint a „nem el', 'több hajó is átjutott a hormuzi-szoroson az elmúlt napokban több tankerhajó is áthaladt a hormuzi-szoroson, azon a fontos tengeri útvonalon, amit az iráni hadsereg lényegében lezárt, miután az egyesült államok és izrael megtámadta az országot. a hajóforgalmat figyelő cégek szerint a hét elején kétszeresére nőtt az áthaladó hajók száma a sz', 'egyetlen olajtanker jutott ma át a hormuzi-szoroson a marinetraffic oldal adatai szerint egyetlen, botswanai zászló alatt hajózó olajtanker jutott ma át a hormuzi-szoroson. a publikus adatok szerint ezen kívül egy kisebb indiai teherhajó jött még kifelé a szoroson, és két másik teherszállító (egy panamai, és egy indiai) haladt át befelé, a perzsa-öbö']"
40,32,40_xii_találtak_bécsi_parkban,"['xii', 'találtak', 'bécsi', 'parkban', '30 40', 'kerületi', 'észlelték', 'xiii kerületi', 'xiii', 'ismeretlen']","['díszhalakat akartak fogni a vizafogó parkban orvhorgászt fogtak a vizafogó parkban, aki a tó díszhalait próbálta eltulajdonítani, írta a xiii. kerületi közterület-felügyelet a facebook-oldalán, amit a 444 vett észre . a nagy horderejű fogásról azt írják, hogy a közteresek operátorai a park térfigyelő kameráinak felvételein észlelték az esemény', 'egy vadkamera rögzítette, ahogy ismeretlenek szabadon engednek tíz vaddisznót egy ketrecből a xii. kerületben egy vadkamera rögzítette, hogy két ismeretlen személy egyik éjszaka szabadon engedett tíz vaddisznót egy olyan ketrecből, amelyből többet direkt a xii. kerületben nagy számban szabadon mászkáló, veszélyes állatok elfogására helyezett ki a kovács gergely által vezetett önkormányzat. a hegyvidéki önko', 'fotón, ahogy valaki kiengedi a xii. kerületi befogott vaddisznókat, az önkormányzat feljelentést tett lefényképezte a vadkamera azt a két embert, akik egyik éjszaka felmentek a xii. kerületi önkormányzat erdei vaddisznó-befogó ketrecéhez, hogy szabadon engedjék a ketrecben levő 10 befogott vaddisznót, írják a xii. kerületi önkormányzat közösségi oldalán . mivel ez az akció szabályt sértett, veszélyb']"
41,31,41_orosz_oroszország_oroszok_meghaltak,"['orosz', 'oroszország', 'oroszok', 'meghaltak', 'ukrán', 'kyiv', 'ukrajna', 'ember', 'ember meghalt', 'dróntámadás']","['oroszország és ukrajna is támadta egymást az amerikai–ukrán tárgyalások előtt oroszország és ukrajna is hajtott végre csapásokat szombaton, egy orosz dróntámadásban két ember meghalt, hatan pedig megsebesültek, köztük két gyerek is sérüléseket szenvedett zaporizzsja városában, ahol egy lakóházat ért találat – közölte ivan fedorov regionális vezető az ap szerint. az orosz táma', 'az oroszok eltaláltak egy harkivi lakóházat, hét ember meghalt oroszország szombatra virradó éjjel drónok és rakéták sorozatát indította ukrajna ellen, közölték ukrán tisztviselők. a támadásokban legalább hét ember meghalt, köztük két gyermek az északkeleti harkiv városában. oleh szinyehubov, harkiv megye kormányzója közölte, a hét ember, akkor vesztette életét', 'hárman meghaltak, 32-en megsebesültek ukrajnában a nagypénteki orosz támadás során oroszország nagyszabású, nappali légitámadást indított ukrajna ellen nagypénteken, írja a kyiv independent. a támadásban, mely során oroszország több száz drónnal és több tucat rakétával támadta ukrajnát, legalább hárman meghaltak, további 32 ember pedig megsérült. az ukrán légierő szerint csütörtök']"
42,29,42_viz_történt eset_kampánycélú_vélte,"['viz', 'történt eset', 'kampánycélú', 'vélte', 'kommunikáció', 'elegendő', 'nyomozati', 'hétfői facebook', 'biztonságpolitikai szakértő', 'alapvető']","['„magyarország most biztonságban van” – orbán elutazott a török áramlathoz az állítólagos szabotázsakció után tarjányi péter szerint néhány alapvető nyomozati lépés elegendő lenne annak megállapítására, hogy a szerbiában történt eset valódi támadási kísérlet volt‑e, vagy csupán kampánycélú kommunikáció. a biztonságpolitikai szakértő hétfői facebook-bejegyzésében úgy vélte , a helyszíni szemle és az első viz', '„magyarország most biztonságban van” – orbán elutazott a török áramlathoz az állítólagos szabotázsakció után tarjányi péter szerint néhány alapvető nyomozati lépés elegendő lenne annak megállapítására, hogy a szerbiában történt eset valódi támadási kísérlet volt‑e, vagy csupán kampánycélú kommunikáció. a biztonságpolitikai szakértő hétfői facebook-bejegyzésében úgy vélte , a helyszíni szemle és az első viz', '„magyarország most biztonságban van” – orbán elutazott a török áramlathoz az állítólagos szabotázsakció után tarjányi péter szerint néhány alapvető nyomozati lépés elegendő lenne annak megállapítására, hogy a szerbiában történt eset valódi támadási kísérlet volt‑e, vagy csupán kampánycélú kommunikáció. a biztonságpolitikai szakértő hétfői facebook-bejegyzésében úgy vélte , a helyszíni szemle és az első viz']"
43,29,43_forint_euró_erősödött_gyengült,"['forint', 'euró', 'erősödött', 'gyengült', 'jegyzése', 'dollár', 'reggel', 'árfolyam', 'csúcsra', '390']","['húsvéthétfőn kicsit erősödött a forint erősödött a forint a főbb devizákkal szemben április 6-án kora délután a reggeli jegyzéséhez képest a nemzetközi devizakereskedelemben – írja az mti. az euró 14.30-kor 382,13 forinton állt, alacsonyabban a hétfő reggeli 384,67 forintnál. hétfőn eddig az euró 381,67 forint és 385,01 forint között moz', 'gyengült a forint csütörtök reggelre gyengült csütörtök reggelre a forint a főbb devizákkal szemben az előző esti jegyzéséhez képest a bankközi devizapiacon – írja az mti. az euró jegyzése 385,32 forintra ment feljebb reggel hat órára az előző esti, hatórai 382,65 forintról. a dollárt 333,92 forinton jegyezték 329,50 forint után, a svá', 'durva lejtmenetbe kapcsolt a forint míg reggel még 386,6 forint körül volt egy euró a bankközi piacokon, dél körülre 391,9 forintig zuhant egy euró, kicsit később 394 forint felett is járt az árfolyam. a dollárral szemben is küzd a forint, a reggel 333,3 forintos árfolyam, a nap derekára 338,5 forint körül jegyeztek egy dollárt, majd']"
44,28,44_háborús feszültség_trump mondja_tankereket_művelet célja,"['háborús feszültség', 'trump mondja', 'tankereket', 'művelet célja', 'terjedő', 'megakadályozzák', 'libanonnal', 'amerikai haditengerészet', 'szíria', 'védelmét']","['trump azt mondja, ha kell, az amerikai haditengerészet átkíséri a tankereket a hormuzi-szoroson a reuters azt írja katonai források alapján, hogy szíria több ezer katonával megerősítette a libanonnal közös határának védelmét a régióban terjedő háborús feszültség miatt. a szíriai katonatisztek elmondása szerint a művelet célja, hogy megakadályozzák egyrészt a fegyver- és kábítószer-csempészetet', 'trump azt mondja, ha kell, az amerikai haditengerészet átkíséri a tankereket a hormuzi-szoroson a reuters azt írja katonai források alapján, hogy szíria több ezer katonával megerősítette a libanonnal közös határának védelmét a régióban terjedő háborús feszültség miatt. a szíriai katonatisztek elmondása szerint a művelet célja, hogy megakadályozzák egyrészt a fegyver- és kábítószer-csempészetet', 'trump azt mondja, ha kell, az amerikai haditengerészet átkíséri a tankereket a hormuzi-szoroson a reuters azt írja katonai források alapján, hogy szíria több ezer katonával megerősítette a libanonnal közös határának védelmét a régióban terjedő háborús feszültség miatt. a szíriai katonatisztek elmondása szerint a művelet célja, hogy megakadályozzák egyrészt a fegyver- és kábítószer-csempészetet']"
45,28,45_mentesítő_rekedt_haza_védelemre,"['mentesítő', 'rekedt', 'haza', 'védelemre', 'konzuli', 'szijjártó', 'keletről', 'szijjártó péter', 'konzuli védelemre', 'külgazdasági külügyminiszter']","['76 magyart hozott haza mentesítő járat a közel-keletről hetvenhat utassal a fedélzetén landolt mentesítő járat budapesten – írta szijjártó péter külgazdasági és külügyminiszter vasárnap este a facebook-oldalán. a rijádból indult repülőgéppel „a szaúd-arábiában, bahreinben és kuvaitban rekedt honfitársainkat hoztuk haza” – fűzte hozzá. közölte: hétfőn két', '76 magyar tért haza a közel-keletről magyarország mentesítő járatán 76 utassal a fedélzetén hazatért magyarország mai mentesítő járata a közel-keletről budapesten – írta szijjártó péter külgazdasági és külügyminiszter vasárnap este a facebookon. a repülőgép rijádból indult és a szaúd-arábiában, bahreinben és kuvaitban rekedt magyarokat hozta haza. hétfőn további két', '76 magyar tért haza a közel-keletről magyarország mentesítő járatán 76 utassal a fedélzetén hazatért magyarország mai mentesítő járata a közel-keletről budapesten – írta szijjártó péter külgazdasági és külügyminiszter vasárnap este a facebookon. a repülőgép rijádból indult és a szaúd-arábiában, bahreinben és kuvaitban rekedt magyarokat hozta haza. hétfőn további két']"
46,27,46_szerb_szerbiát_talált_tájékoztatása szerbiát,"['szerb', 'szerbiát', 'talált', 'tájékoztatása szerbiát', 'robbanóanyagot aktiválásához', 'szerb egységek', 'szükséges gyújtózsinórokat', 'szijjártó ukránok', 'egységek romboló', 'aktiválásához szükséges']","['szijjártó szerint ukránok készíthettek elő terrortámadást, ukrajna szerint nincs közük a vezetéknél talált robbanóanyaghoz, oroszország a magyar szuverenitásért aggódik aleksandar vučić szerb elnök tájékoztatása szerint a szerbiát és magyarországot összekötő gázinfrastruktúra közelében a szerb egységek nagy romboló erejű robbanóanyagot, valamint annak aktiválásához szükséges gyújtózsinórokat találtak. rácz andrás a 24.hu-nak reagált elsőként a történtekre. kapcsoló', 'szijjártó szerint ukránok készíthettek elő terrortámadást, ukrajna szerint nincs közük a vezetéknél talált robbanóanyaghoz, oroszország a magyar szuverenitásért aggódik aleksandar vučić szerb elnök tájékoztatása szerint a szerbiát és magyarországot összekötő gázinfrastruktúra közelében a szerb egységek nagy romboló erejű robbanóanyagot, valamint annak aktiválásához szükséges gyújtózsinórokat találtak. rácz andrás a 24.hu-nak reagált elsőként a történtekre. kapcsoló', 'szijjártó szerint ukránok készíthettek elő terrortámadást, ukrajna szerint nincs közük a vezetéknél talált robbanóanyaghoz, oroszország a magyar szuverenitásért aggódik aleksandar vučić szerb elnök tájékoztatása szerint a szerbiát és magyarországot összekötő gázinfrastruktúra közelében a szerb egységek nagy romboló erejű robbanóanyagot, valamint annak aktiválásához szükséges gyújtózsinórokat találtak. rácz andrás a 24.hu-nak reagált elsőként a történtekre. kapcsoló']"
47,27,47_karácsony_karácsony gergely_gergely_főpolgármester,"['karácsony', 'karácsony gergely', 'gergely', 'főpolgármester', 'gergely főpolgármester', 'felfüggesztette', 'vitézy', 'bíróság', 'büntetőeljárást', 'pesti központi']","['hvg: felfüggesztette a bíróság a karácsony gergely ellen pride-ügyben indított büntetőeljárást az alkotmánybírósághoz fordult és felfüggesztette a karácsony gergely elleni büntetőeljárást a pesti központi kerületi bíróság – tudta meg a hvg. az erről szóló végzést a lap információi szerint február végén, tárgyaláson kívül hozta meg az ügyben eljáró bíró. a hvg úgy tudja, a bíróság arra kérte a', 'hvg.hu: felfüggesztette karácsony gergely büntetőügyét és az alkotmánybírókhoz fordult a bíróság felfüggesztette a karácsony gergely elleni büntetőeljárást és az alkotmánybírósághoz fordult a pesti központi kerületi bíróság – írja a hvg.hu . a főpolgármester ellen egyesülési és gyülekezési szabadság megsértésének vétsége miatt emelt vádat az ügyészség , mert karácsony önkormányzati rendezvényké', 'karácsony gergely a felfüggesztett büntetőügyéről: ez minden szabadságszerető embernek csodálatos hír „a szabadságot és szerelmet nem lehet betiltani!” – így reagált karácsony gergely főpolgármester arra, hogy a pesti központi kerületi bíróság felfüggesztette a budapesti büszkeség menet miatt ellene indított büntetőeljárást . a bíróság azt kérte az alkotmánybíróságtól, állapítsa meg, hogy az ügyészs']"
48,26,48_putyin_orosz_orosz elnök_gázt,"['putyin', 'orosz', 'orosz elnök', 'gázt', 'oroszország', 'vlagyimir', 'európai', 'vlagyimir putyin', 'megbízható', 'leyen']","['fenyegetés az orosz gázcsap elzárásával: putyin vagy blöfföl, vagy nagyon is tudja, mikor érdemes fojtogatni európát vlagyimir putyin orosz elnök arról beszélt, hogy oroszország számára előnyösebb lehet már most leállítani az európai gázszállításokat, nem csak egy év múlva, ahogyan azt az európai unió szeretné. az orosz elnök azt is mondta, hogy szlovákiának és magyarországnak továbbra is szállítana gázt a jövőben', 'putyin: oroszország még az eu-s szankciók előtt kivonulhat az európai gázpiacról utasítást kap az orosz kormány, hogy a vállalatokkal együtt vizsgálja meg az európai piacról való azonnali kivonulás és az alternatív gázpiacokra való átállás kérdését – mondta vlagyimir putyin orosz elnök a rosszija 1 televíziónak szerda este. putyin szerint oroszország számára előnyösebb lehet már', 'putyin most azt mondja, hajlandó gázt és olajat szállítani európába oroszország kész együttműködni az európai szénhidrogén-vásárlókkal is, ha ők garantálják a hosszútávú, politikai konjunktúrától mentes együttműködést – jelentette ki vlagyimir putyin orosz elnök. azt állította, hogy oroszország mindig is megbízható energiahordozó-szállító volt. közölte, hogy az oros']"
49,26,49_fiú_iskolában_fiút_mezőkövesdi,"['fiú', 'iskolában', 'fiút', 'mezőkövesdi', 'diák', 'tanár', '14', 'hév', 'iskolai', 'iskolát']","['rtl: meghalt a 14 éves fiú, akit elütött a hév, miközben fülhallgatóban nyomkodta a mobilját az rtl híradó információi szerint a kórházban meghalt az a 14 éves fiú, akit hétfőn este gázolt el a határ úti gyalogos átjárónál elhaladó h5-ös hév. a rendőrség a sajtóközleményében azt írta, hogy a fiú a tilos jelzésen ment át. a helyszínen tapasztalt körülmények, valamint a tanúk elmondása alapjá', 'elütött a hév egy mobilját nyomkodó 14 éves fiút óbudán, életveszélyben van elütött a hév egy 14 éves fiút hétfőn este, fél hét körül, budapesten, a iii. kerületi határ úti megállónál. a brfk tájékoztatása szerint a tilos jelzésen átmenni akaró fiút életveszélyes sérülésekkel vitték kórházba a mentők. a helyszínen tapasztalt körülmények, valamint a tanúk elmondása alapján a', 'mobilját nyomkodó 14 éves fiút ütött el a hév óbudán, életveszélyes sérülésekkel vitték kórházba életveszélyes sérülésekkel vittek kórházba a mentők egy 14 éves fiút hétfőn este a iii. kerületből, miután a határ úti megállónál elhaladó h5-ös hév elgázolta őt. a budapesti rendőr-főkapitányság a sajtóközleményében azt írta, hogy a fiú a tilos jelzésen ment át este fél 7 körül. a helyszínen a brfk']"
50,25,50_meghalt_istván_korában_elhunyt,"['meghalt', 'istván', 'korában', 'elhunyt', 'életének', 'csaba', 'bizottság magyarországi', 'betegség', 'józsef', 'david']","['meghalt perger istván, az európai bizottság magyarországi képviseletének helyettes vezetője váratlanul meghalt perger istván, az európai bizottság magyarországi képviseletének helyettes vezetője – erősítette meg a telex értesülését moskovits ákos sajtófőnök. a képviselet a facebookon hétfőn egy bejegyzésben részletesebben írt fiatalon meghalt munkatársáról. perger istván 47 éves volt, márc', 'meghalt siklós csaba józsef volt miniszter életének 85. évében, hosszú betegség után, családja körében elhunyt siklós csaba józsef közlekedésmérnök, magyarország első szabadon választott közlekedési, hírközlési és vízügyi minisztere – közölte a család hétfőn az mti-vel. azt írták: siklós csaba józsef 1941. augusztus 29-én született budapeste', 'meghalt siklós csaba, az antall-kormány minisztere életének 85. évében, hosszú betegség után meghalt siklós csaba józsef közlekedésmérnök, az antall-kormány közlekedési, hírközlési és vízügyi minisztere – közölte siklós családja hétfőn az mti-vel. siklós csaba józsef 1941. augusztus 29-én született budapesten. a budapesti műszaki egyetemen szerzett']"
51,25,51_lezuhant_gép_repülőgép_irakban,"['lezuhant', 'gép', 'repülőgép', 'irakban', 'new', 'york', 'new york', 'ütközött', 'air', 'zuhant']","['az ap szerint egy második amerikai katonai gép is lezuhant, a pilóta katapultált, és kimentették egy neve elhallgatását kérő amerikai tisztviselő megerősítette az associated pressnek , hogy pénteken egy második amerikai katonai gép is lezuhant a közel-keleten. az elsőre nem világos, hogy más okból zuhant le, vagy lelőtték a gépet, és az sem derült ki, hogy ki felelős a történtekért. a new york', 'négy amerikai katona meghalt a nyugat-irakban lezuhant katonai repülőgépen az amerikai hadsereg közlése szerint négyen meghaltak annak a katonai repülőgépnek a hatfős legénységéből, amely csütörtökön lezuhant nyugat-irakban. a mentőalakulatok továbbra is keresik a legénység két eltűnt tagját. a lezuhant gép egy amerikai légi utántöltő repülőgép volt. a hadsereg szerint a b', 'lezuhant egy amerikai légi utántöltő gép irakban lezuhant irakban egy amerikai kc-135-ös utántöltő gép . a centcom szerint az incidens baráti légtérben történt, még folynak a mentési munkálatok. az esetben két repülőgép érintett, de a másik biztonságosan leszállt. a lezuhant kc-135-ös legénysége legalább öt főből állt. „az incidens nem ellenséges']"
